task_id,nearest_neighbor_task_id,nearest_neighbor_distance,nearest_neighbor_used_run_config,accuracy,balanced_accuracy,precision,precision_micro,precision_macro,recall,recall_micro,recall_macro,f1_micro,f1_macro,jaccard_micro,jaccard_macro
75180,166951,0.12351063499610561,ensemble-learners/el_task-166951_ens-size-10_budget-m-2000_budget-f-100_seed-919.pkl,0.9,0.9011936339522546,[0.87272727 0.92727273],0.9,0.8999999999999999,[0.92307692 0.87931034],0.9,0.9011936339522546,0.9,0.8999255644694399,0.8181818181818182,0.8180699835975944
75185,166915,0.337949506860788,ensemble-learners/el_task-166915_ens-size-10_budget-m-2000_budget-f-100_seed-826.pkl,0.8566159520516367,0.8564508874953364,[0.86412078 0.8485139 ],0.8566159520516367,0.8563173418663543,[0.86030062 0.85260116],0.8566159520516367,0.8564508874953364,0.8566159520516367,0.8563795438485255,0.7491935483870967,0.748877358588858
75187,75131,0.48068393432530915,ensemble-learners/el_task-75131_ens-size-5_budget-m-2000_budget-f-100_seed-45.pkl,0.9795249795249795,0.979406245973457,[0.97539683 0.98392555],0.9795249795249795,0.9796611876561114,[0.98477564 0.97403685],0.9795249795249795,0.979406245973457,0.9795249795249795,0.9795100124047492,0.9598715890850722,0.9598434215725264
75199,75180,0.17050962687409493,ensemble-learners/el_task-75180_ens-size-10_budget-m-2000_budget-f-100_seed-677.pkl,0.9030303030303031,0.900561226411541,[0.88489209 0.91623037],0.9030303030303031,0.900561226411541,[0.88489209 0.91623037],0.9030303030303031,0.900561226411541,0.9030303030303031,0.900561226411541,0.8232044198895028,0.819479507558049
75210,166905,0.9100800850349167,ensemble-learners/el_task-166905_ens-size-5_budget-m-2000_budget-f-100_seed-146.pkl,0.9989477376359173,0.9987903225806452,[0.99814126 1.        ],0.9989477376359173,0.9990706319702602,[1.         0.99758065],0.9989477376359173,0.9987903225806452,0.9989477376359173,0.9989293124653792,0.9978976874562018,0.9978609545509054
75219,189864,1.938740006078265,ensemble-learners/el_task-189864_ens-size-5_budget-m-2000_budget-f-100_seed-414.pkl,0.9184705644345539,0.9151671142350547,[0.90665727 0.93441065],0.9184705644345539,0.9205339600378755,[0.94911504 0.88121918],0.9184705644345539,0.9151671142350547,0.9184705644345539,0.9172181119313685,0.8492330714552937,0.8472574244102775
75223,2122,0.1530218988461092,ensemble-learners/el_task-2122_ens-size-10_budget-m-2000_budget-f-100_seed-494.pkl,0.8451069345430978,0.8428490220923127,"[0.98181818 0.74898785 0.80107527 0.84126984 0.82843895 0.83957219
 0.91666667 0.82084691 1.         0.90909091 0.81333333 0.79749478
 0.8313253  0.82872928 0.765625   0.87336815 0.80782918 0.9       ]",0.8451069345430978,0.8503039885426776,"[0.99082569 0.76763485 0.75252525 0.77941176 0.77681159 0.81467754
 0.75862069 0.84492875 0.9382716  1.         0.8280543  0.83224401
 0.86130374 0.85714286 0.765625   0.86434109 0.80782918 0.93103448]",0.8451069345430978,0.8428490220923127,0.8451069345430978,0.8457378292246813,0.7317620650953984,0.7386377207698261
75233,75147,0.4661475058650429,ensemble-learners/el_task-75147_ens-size-5_budget-m-2000_budget-f-100_seed-965.pkl,0.9267480577136515,0.9170403717688063,[0.87100592 0.95209903],0.9267480577136515,0.9115524741880625,[0.89212121 0.94195953],0.9267480577136515,0.9170403717688063,0.9267480577136515,0.914219633538063,0.8634953464322648,0.8436738301895624
75235,288,0.49725835952452446,ensemble-learners/el_task-288_ens-size-10_budget-m-2000_budget-f-100_seed-997.pkl,0.9566666666666667,0.9295655394012475,[0.9432133  0.96542185 0.98165138 0.98333333],0.959866220735786,0.9684049648169182,[0.96732955 0.98033708 0.86290323 0.90769231],0.9566666666666667,0.9295655394012475,0.9582637729549249,0.9475991124650351,0.9198717948717948,0.9010806177138944
75236,75142,1.3314595986773403,ensemble-learners/el_task-75142_ens-size-5_budget-m-2000_budget-f-100_seed-596.pkl,0.9219047619047619,0.9217989209246367,"[0.98148148 0.89090909 0.83636364 0.96153846 0.93478261 0.93548387
 0.95652174 0.94117647 0.8627451  0.9245283 ]",0.9219047619047619,0.9225530759600744,"[0.98148148 0.90740741 0.88461538 0.86206897 0.91489362 0.95081967
 0.89795918 0.96       0.89795918 0.96078431]",0.9219047619047619,0.9217989209246367,0.9219047619047619,0.9216407188468214,0.8551236749116607,0.8565071268620876
