task_id,nearest_neighbor_task_id,nearest_neighbor_distance,nearest_neighbor_used_run_config,accuracy,balanced_accuracy,precision,precision_micro,precision_macro,recall,recall_micro,recall_macro,f1_micro,f1_macro,jaccard_micro,jaccard_macro
75141,75147,0.50445488581431,ensemble-learners/el_task-75147_ens-size-20_budget-m-2000_budget-f-100_seed-355.pkl,0.9400665926748057,0.9377355432068571,[0.94978301 0.92568807],0.9400665926748057,0.9377355432068571,[0.94978301 0.92568807],0.9400665926748057,0.9377355432068571,0.9400665926748057,0.9377355432068571,0.8869109947643979,0.8830125312929443
75142,3053,0.5198901899429402,ensemble-learners/el_task-3053_ens-size-5_budget-m-2000_budget-f-100_seed-965.pkl,0.9270051289675165,0.9269533685751364,[0.93328267 0.9209952 ],0.9270051289675165,0.9271389366876333,[0.91876122 0.93514552],0.9270051289675165,0.9269533685751364,0.9270051289675165,0.9269907189869362,0.8639418081052996,0.8639184794779816
75146,166905,1.0250462186346914,ensemble-learners/el_task-166905_ens-size-20_budget-m-2000_budget-f-100_seed-309.pkl,0.8811990301961649,0.8764020957694654,[0.86677542 0.89140104],0.8814194401586952,0.8790882296152347,[0.84472708 0.90754717],0.8814194401586952,0.8761371249162593,0.8814194401586952,0.8775054389478852,0.7879802955665025,0.782424062184635
75147,75233,0.46614750586504194,ensemble-learners/el_task-75233_ens-size-10_budget-m-2000_budget-f-100_seed-997.pkl,0.9260081391046985,0.9029150934262755,[0.90743155 0.93336777],0.9260081391046985,0.9203996600471946,[0.84363636 0.96219382],0.9260081391046985,0.9029150934262755,0.9260081391046985,0.9109667371993687,0.8622115053393041,0.8385672467791302
75148,3049,4.616493317252865,ensemble-learners/el_task-3049_ens-size-15_budget-m-2000_budget-f-100_seed-327.pkl,0.8117073170731708,0.8115814282885819,[0.81818182 0.80566038],0.8117073170731708,0.8119210977701544,[0.79724409 0.82591876],0.8117073170731708,0.8115814282885819,0.8117073170731708,0.8116205347662838,0.6830870279146142,0.6829836012514834
75149,166950,0.11296638952053677,ensemble-learners/el_task-166950_ens-size-20_budget-m-2000_budget-f-100_seed-244.pkl,0.9,0.9027916251246262,[0.85714286 0.94444444],0.9,0.9007936507936507,[0.94117647 0.86440678],0.9,0.9027916251246262,0.9,0.89992556446944,0.8181818181818182,0.8180699835975944
75154,190158,1.6529040274513749,ensemble-learners/el_task-190158_ens-size-5_budget-m-2000_budget-f-100_seed-430.pkl,0.571969696969697,0.6060536119209589,"[1.         1.         1.         1.         0.75       0.8
 1.         1.         0.66666667 0.         0.71428571 0.77777778
 0.875      1.         1.         0.4        1.         0.75
 0.         0.14285714 0.         1.         1.         0.6
 0.42857143 0.25       0.5        0.8        1.         0.75
 1.         1.         0.         0.5        1.         0.
 0.         0.         1.         0.35714286 1.         0.83333333
 0.         1.         1.         0.5625     1.         0.5
 0.8        0.33333333 0.         1.         0.33333333 0.33333333
 0.16666667 0.75       1.         0.4        1.         0.77777778
 0.         0.6        0.30769231 0.875      0.66666667 0.
 1.         0.         0.33333333 0.         0.57142857 0.5
 1.         0.3        0.75       1.         0.125      1.
 1.         0.         1.         0.         0.75       0.75
 1.         1.         0.         0.3        1.         0.5
 0.33333333 0.75       0.5        0.5        0.25       0.66666667
 0.44444444 0.         1.        ]",0.571969696969697,0.6022842897842897,"[0.6        0.85714286 1.         1.         1.         0.66666667
 0.83333333 0.71428571 0.66666667 0.         0.55555556 1.
 1.         0.4        1.         0.66666667 1.         0.42857143
 0.         0.25       0.         1.         0.14285714 1.
 0.5        0.2        0.8        1.         1.         1.
 0.8        0.66666667 0.         1.         0.625      0.
 0.         0.         1.         0.83333333 1.         1.
 0.         1.         0.85714286 1.         0.5        0.42857143
 0.8        0.6        0.         0.66666667 0.5        0.75
 0.33333333 1.         1.         0.4        0.14285714 1.
 0.         0.75       1.         1.         0.28571429 0.
 1.         0.         0.75       0.         0.8        0.16666667
 0.66666667 0.6        0.75       0.8        0.16666667 0.88888889
 0.5        0.         1.         0.         0.5        0.5
 0.66666667 1.         0.         1.         1.         0.33333333
 1.         1.         1.         0.25       0.25       0.25
 1.         0.         0.33333333]",0.571969696969697,0.5999318582651916,0.571969696969697,0.5669647896831497,0.4005305039787798,0.4761802871651357
75156,3053,1.3184690679807007,ensemble-learners/el_task-3053_ens-size-5_budget-m-2000_budget-f-100_seed-965.pkl,0.7776879547291835,0.7750789275342458,[0.76086957 0.79124088],0.7776879547291835,0.7760552205649001,[0.74600355 0.8041543 ],0.7776879547291835,0.7750789275342458,0.7776879547291835,0.7755042780731018,0.6362433862433863,0.6338596197705239
75171,75180,0.3376523135322157,ensemble-learners/el_task-75180_ens-size-10_budget-m-2000_budget-f-100_seed-702.pkl,0.8379578246392897,0.8380055584878636,[0.84398217 0.83198231],0.8379578246392897,0.8379822416592847,[0.83284457 0.84316654],0.8379578246392897,0.8380055584878636,0.8379578246392897,0.837956737875984,0.7211079274116523,0.7211065422561422
75176,146586,0.4630300352413644,ensemble-learners/el_task-146586_ens-size-5_budget-m-2000_budget-f-100_seed-668.pkl,0.5607106151813244,0.5,[0.         0.56071062],0.5607106151813244,0.2803553075906622,[0. 1.],0.5607106151813244,0.5,0.5607106151813244,0.35926622765757293,0.38957462001428134,0.2803553075906622
75180,166951,0.12351063499610561,ensemble-learners/el_task-166951_ens-size-5_budget-m-2000_budget-f-100_seed-549.pkl,0.9181818181818182,0.9190981432360743,[0.89570552 0.94011976],0.9181818181818182,0.9179126409757172,[0.93589744 0.90229885],0.9181818181818182,0.9190981432360743,0.9181818181818182,0.9180908079684498,0.8487394957983193,0.8485957527016839
75185,166915,0.337949506860788,ensemble-learners/el_task-166915_ens-size-15_budget-m-2000_budget-f-100_seed-357.pkl,0.8635315813739051,0.8629633604718316,[0.86399303 0.8630137 ],0.8635315813739051,0.8635033619567425,[0.87621574 0.84971098],0.8635315813739051,0.8629633604718316,0.8635315813739051,0.8631860685152195,0.7598377281947262,0.7593672126779087
75187,75131,0.48068393432530915,ensemble-learners/el_task-75131_ens-size-10_budget-m-2000_budget-f-100_seed-533.pkl,0.9762489762489762,0.976255476098441,[0.97752809 0.97491639],0.9762489762489762,0.9762222389237534,[0.97596154 0.97654941],0.9762489762489762,0.976255476098441,0.9762489762489762,0.9762382018098668,0.9536,0.9535799168152109
75199,75180,0.17050962687409493,ensemble-learners/el_task-75180_ens-size-10_budget-m-2000_budget-f-100_seed-702.pkl,0.9121212121212121,0.9084146295529022,[0.90441176 0.91752577],0.9121212121212121,0.9109687689508793,[0.88489209 0.93193717],0.9121212121212121,0.9084146295529022,0.9121212121212121,0.9096103896103896,0.8384401114206128,0.8345569539791509
75210,166905,0.9100800850349167,ensemble-learners/el_task-166905_ens-size-20_budget-m-2000_budget-f-100_seed-309.pkl,0.9996492458786391,0.999689633767846,[1.        0.9991942],0.9996492458786391,0.999597099113618,[0.99937927 1.        ],0.9996492458786391,0.999689633767846,0.9996492458786391,0.9996432370649034,0.9992987377279102,0.9992867328814641
75219,189864,1.938740006078265,ensemble-learners/el_task-189864_ens-size-15_budget-m-2000_budget-f-100_seed-689.pkl,0.8689055229617642,0.8642338977851645,[0.85843164 0.88440991],0.8692572353774539,0.871420776206691,[0.91224189 0.81622591],0.8689055229617642,0.8642338977851645,0.8690813435855929,0.8667350882939013,0.7684737877974593,0.7652471414773967
